,UniProtId,EnsemblGeneId
337,P30273,ENSG00000158869
338,P30531,ENSG00000157103
339,Q13131,ENSG00000132356
340,P63316,ENSG00000114854
341,P26358,ENSG00000130816
342,P43115,ENSG00000050628
343,Q9UHC9,ENSG00000015520
344,Q9Y233,ENSG00000112541
345,P48039,ENSG00000168412
346,P06746,ENSG00000070501
347,P63000,ENSG00000136238
348,P30044,ENSG00000126432
349,P25815,ENSG00000163993
350,P41180,ENSG00000036828
351,P80511,ENSG00000163221
352,Q4U2R8,ENSG00000197901
353,P00492,ENSG00000165704
354,P51788,ENSG00000114859
355,P34896,ENSG00000176974
356,P34896,ENSG00000284320
357,P50416,ENSG00000110090
358,P80404,ENSG00000183044
359,P16233,ENSG00000175535
360,P35610,ENSG00000057252
361,Q02127,ENSG00000102967
362,P14060,ENSG00000203857
363,Q9H252,ENSG00000173826
364,Q9NS40,ENSG00000184611
365,P31213,ENSG00000277893
366,Q92887,ENSG00000023839
367,P10696,ENSG00000163286
368,Q99584,ENSG00000189171
369,Q16850,ENSG00000001630
370,O14920,ENSG00000104365
371,P30536,ENSG00000100300
372,P11137,ENSG00000078018
373,Q7L0J3,ENSG00000159164
374,P21731,ENSG00000006638
375,P07327,ENSG00000187758
376,P21817,ENSG00000196218
377,P51580,ENSG00000137364
378,P00519,ENSG00000097007
379,Q96RJ0,ENSG00000146399
380,P01031,ENSG00000106804
381,P27487,ENSG00000197635
382,P20645,ENSG00000003056
383,Q16853,ENSG00000131471
384,P43220,ENSG00000112164
385,P08069,ENSG00000140443
386,P33681,ENSG00000121594
387,Q01718,ENSG00000185231
388,Q15842,ENSG00000121361
389,P49841,ENSG00000082701
390,P35368,ENSG00000170214
391,P25100,ENSG00000171873
392,P02787,ENSG00000091513
393,P05231,ENSG00000136244
394,P50579,ENSG00000111142
395,Q9HAB3,ENSG00000185803
396,Q9HAB3,ENSG00000285112
397,P50406,ENSG00000158748
398,P14061,ENSG00000108786
399,P28335,ENSG00000147246
400,P80365,ENSG00000176387
401,P52895,ENSG00000151632
402,P02786,ENSG00000072274
403,P46663,ENSG00000100739
404,P16444,ENSG00000015413
405,O95477,ENSG00000165029
406,P08253,ENSG00000087245
407,P80188,ENSG00000148346
408,Q13370,ENSG00000152270
409,P00390,ENSG00000104687
410,Q92731,ENSG00000140009
411,Q96C86,ENSG00000110063
412,P02743,ENSG00000132703
413,Q08499,ENSG00000113448
414,P17538,ENSG00000168925
415,P42262,ENSG00000120251
416,P07477,ENSG00000204983
417,P07477,ENSG00000274247
418,P00491,ENSG00000198805
419,Q9UKU7,ENSG00000151498
420,P12931,ENSG00000197122
421,P15259,ENSG00000164708
422,P48147,ENSG00000085377
423,P35228,ENSG00000007171
424,P15121,ENSG00000085662
425,P60174,ENSG00000111669
426,P42330,ENSG00000196139
427,P31939,ENSG00000138363
428,P02144,ENSG00000198125
429,P00326,ENSG00000248144
430,P08100,ENSG00000163914
431,P42768,ENSG00000015285
432,P14618,ENSG00000067225
433,P18031,ENSG00000196396
434,P12235,ENSG00000151729
435,P05771,ENSG00000166501
436,P62937,ENSG00000196262
437,P63208,ENSG00000113558
438,P11309,ENSG00000137193
439,P49247,ENSG00000153574
440,Q8WX39,ENSG00000148386
441,Q16539,ENSG00000112062
442,P16930,ENSG00000103876
443,Q13423,ENSG00000112992
444,P68400,ENSG00000101266
445,P54577,ENSG00000134684
446,P01308,ENSG00000254647
447,Q16613,ENSG00000129673
448,P62258,ENSG00000108953
449,P62258,ENSG00000274474
450,P53779,ENSG00000109339
451,P10644,ENSG00000108946
452,P07478,ENSG00000275896
453,P07478,ENSG00000282049
454,P08631,ENSG00000101336
455,P02788,ENSG00000012223
456,O14792,ENSG00000002587
457,P11226,ENSG00000165471
458,P11217,ENSG00000068976
459,P17931,ENSG00000131981
460,P06239,ENSG00000182866
461,P23381,ENSG00000140105
462,P09211,ENSG00000084207
463,Q9NPH2,ENSG00000105655
464,Q9UNI1,ENSG00000139610
465,Q6NUS8,ENSG00000145626
466,P52961,ENSG00000129744
467,P43235,ENSG00000143387
468,P51003,ENSG00000090060
469,P31749,ENSG00000142208
470,P62330,ENSG00000165527
471,P19961,ENSG00000240038
472,Q13748,ENSG00000198033
473,Q13748,ENSG00000075886
474,P08254,ENSG00000149968
475,P24941,ENSG00000123374
476,Q14994,ENSG00000143257
477,P05019,ENSG00000017427
478,O60760,ENSG00000163106
479,P05230,ENSG00000113578
480,P46459,ENSG00000073969
481,P46459,ENSG00000278174
482,P46459,ENSG00000276262
483,P01024,ENSG00000125730
484,P11926,ENSG00000115758
485,P17612,ENSG00000072062
486,P17612,ENSG00000288516
487,P15559,ENSG00000181019
488,O15530,ENSG00000140992
489,P09601,ENSG00000100292
490,Q7Z406,ENSG00000105357
491,P14780,ENSG00000100985
492,Q9UKM7,ENSG00000177239
493,P07602,ENSG00000197746
494,O75390,ENSG00000062485
495,Q16774,ENSG00000143774
496,P00749,ENSG00000122861
497,P05089,ENSG00000118520
