"id","Symbol","EnsemblID","Synonyms"
"37911","MUL1","ENSG00000090432","MAPL"
"37912","MUL1","ENSG00000090432","MULAN"
"37913","MUL1","ENSG00000090432","RNF218"
"37914","SAP130","ENSG00000136715","-"
"37915","OBI1","ENSG00000152193","C13orf7"
"37916","OBI1","ENSG00000152193","RNF219"
"37917","CEP97","ENSG00000182504","2810403B08Rik"
"37918","CEP97","ENSG00000182504","LRRIQ2"
"37919","TCTN1","ENSG00000204852","JBTS13"
"37920","TCTN1","ENSG00000204852","TECT1"
"37921","ADIPOR2","ENSG00000006831","ACDCR2"
"37922","ADIPOR2","ENSG00000006831","PAQR2"
"37923","CERS4","ENSG00000090661","LASS4"
"37924","CERS4","ENSG00000090661","Trh1"
"37925","PGBD5","ENSG00000177614","-"
"37926","FAM118B","ENSG00000197798","-"
"37927","RIC3","ENSG00000166405","AYST720"
"37928","RIC3","ENSG00000166405","PRO1385"
"37929","VCPKMT","ENSG00000100483","C14orf138"
"37930","VCPKMT","ENSG00000100483","METTL21D"
"37931","VCPKMT","ENSG00000100483","VCP-KMT"
"37932","ACSS3","ENSG00000111058","-"
"37933","NAA16","ENSG00000172766","NARG1L"
"37934","TANGO6","ENSG00000103047","TMCO7"
"37935","CCNJL","ENSG00000135083","-"
"37936","HMBOX1","ENSG00000147421","HNF1LA"
"37937","HMBOX1","ENSG00000147421","HOT1"
"37938","HMBOX1","ENSG00000147421","PBHNF"
"37939","HMBOX1","ENSG00000147421","TAH1"
"37940","RNASEH2B","ENSG00000136104","AGS2"
"37941","RNASEH2B","ENSG00000136104","DLEU8"
"37942","SNRNP25","ENSG00000161981","C16orf33"
"37943","GALNT14","ENSG00000158089","GALNT15"
"37944","GALNT14","ENSG00000158089","GalNac-T10"
"37945","GALNT14","ENSG00000158089","GalNac-T14"
"37946","ARMT1","ENSG00000146476","C6orf211"
"37947","NDNF","ENSG00000173376","C4orf31"
"37948","NDNF","ENSG00000173376","HH25"
"37949","NDNF","ENSG00000173376","NORD"
"37950","OGFRL1","ENSG00000119900","dJ331H24.1"
"37951","SH3TC2","ENSG00000169247","CMT4C"
"37952","SH3TC2","ENSG00000169247","MNMN"
"37953","OCEL1","ENSG00000099330","FWP009"
"37954","OCEL1","ENSG00000099330","S863-9"
"37955","C1orf54","ENSG00000118292","-"
"37956","EFL1","ENSG00000140598","EFTUD1"
"37957","EFL1","ENSG00000140598","FAM42A"
"37958","EFL1","ENSG00000140598","HsT19294"
"37959","EFL1","ENSG00000140598","RIA1"
"37960","EFL1","ENSG00000140598","SDS2"
"37961","FAM184A","ENSG00000111879","C6orf60"
"37962","FAT4","ENSG00000196159","CDHF14"
"37963","FAT4","ENSG00000196159","CDHR11"
"37964","FAT4","ENSG00000196159","FAT-J"
"37965","FAT4","ENSG00000196159","FATJ"
"37966","FAT4","ENSG00000196159","HKLLS2"
"37967","FAT4","ENSG00000196159","NBLA00548"
"37968","FAT4","ENSG00000196159","VMLDS2"
"37969","SCRN3","ENSG00000144306","SES3"
"37970","CCDC121","ENSG00000176714","-"
"37971","ARMC7","ENSG00000125449","-"
"37972","TMEM53","ENSG00000126106","NET4"
"37973","C22orf46","ENSG00000184208","-"
"37974","ARSJ","ENSG00000180801","ASJ"
"37975","CHMP6","ENSG00000176108","VPS20"
"37976","SRD5A3","ENSG00000128039","CDG1P"
"37977","SRD5A3","ENSG00000128039","CDG1Q"
"37978","SRD5A3","ENSG00000128039","KRIZI"
"37979","SRD5A3","ENSG00000128039","SRD5A2L"
"37980","SRD5A3","ENSG00000128039","SRD5A2L1"
"37981","EFCAB1","ENSG00000034239","-"
"37982","PANK3","ENSG00000120137","-"
"37983","AKIRIN1","ENSG00000174574","C1orf108"
"37984","AKIRIN1","ENSG00000174574","STRF2"
"37985","MCPH1","ENSG00000147316","BRIT1"
"37986","MCPH1","ENSG00000147316","MCT"
"37987","MAP7D3","ENSG00000129680","MDP3"
"37988","USB1","ENSG00000103005","C16orf57"
"37989","USB1","ENSG00000103005","HVSL1"
"37990","USB1","ENSG00000103005","Mpn1"
"37991","USB1","ENSG00000103005","PN"
"37992","USB1","ENSG00000103005","hUsb1"
"37993","RHBDF2","ENSG00000129667","RHBDL5"
"37994","RHBDF2","ENSG00000129667","RHBDL6"
"37995","RHBDF2","ENSG00000129667","TEC"
"37996","RHBDF2","ENSG00000129667","TOC"
"37997","RHBDF2","ENSG00000129667","TOCG"
"37998","RHBDF2","ENSG00000129667","iRhom2"
"37999","TMEM204","ENSG00000131634","C16orf30"
"38000","TMEM204","ENSG00000131634","CLP24"
"38001","HECTD3","ENSG00000126107","-"
"38002","RPAP3","ENSG00000005175","Tah1"
"38003","RPAP3","ENSG00000005175","hSpagh"
"38004","ARHGAP10","ENSG00000071205","GRAF2"
"38005","ARHGAP10","ENSG00000071205","PS-GAP"
"38006","ARHGAP10","ENSG00000071205","PSGAP"
"38007","DYNC2H1","ENSG00000187240","ATD3"
"38008","DYNC2H1","ENSG00000187240","DHC1b"
"38009","DYNC2H1","ENSG00000187240","DHC2"
"38010","DYNC2H1","ENSG00000187240","DNCH2"
"38011","DYNC2H1","ENSG00000187240","DYH1B"
"38012","DYNC2H1","ENSG00000187240","SRPS2B"
"38013","DYNC2H1","ENSG00000187240","SRTD3"
"38014","DYNC2H1","ENSG00000187240","hdhc11"
"38015","PPP1R3B","ENSG00000173281","GL"
"38016","PPP1R3B","ENSG00000173281","PPP1R4"
"38017","PPP1R3B","ENSG00000173281","PTG"
"38018","NEIL1","ENSG00000140398","FPG1"
"38019","NEIL1","ENSG00000140398","NEI1"
"38020","NEIL1","ENSG00000140398","hFPG1"
"38021","HSPBAP1","ENSG00000169087","PASS1"
"38022","ICE2","ENSG00000128915","BRCC1"
"38023","ICE2","ENSG00000128915","NARG2"
"38024","DHX40","ENSG00000108406","ARG147"
"38025","DHX40","ENSG00000108406","DDX40"
"38026","DHX40","ENSG00000108406","PAD"
"38027","PLEKHF2","ENSG00000175895","EAPF"
"38028","PLEKHF2","ENSG00000175895","PHAFIN2"
"38029","PLEKHF2","ENSG00000175895","ZFYVE18"
"38030","PARP8","ENSG00000151883","ARTD16"
"38031","PARP8","ENSG00000151883","pART16"
"38032","C3orf52","ENSG00000114529","TTMP"
"38033","TUT7","ENSG00000083223","PAPD6"
"38034","TUT7","ENSG00000083223","TENT3B"
"38035","TUT7","ENSG00000083223","ZCCHC6"
"38036","NLRX1","ENSG00000160703","CLR11.3"
"38037","NLRX1","ENSG00000160703","DLNB26"
"38038","NLRX1","ENSG00000160703","NOD26"
"38039","NLRX1","ENSG00000160703","NOD5"
"38040","NLRX1","ENSG00000160703","NOD9"
"38041","FN3KRP","ENSG00000141560","FN3KL"
"38042","ZNF329","ENSG00000181894","-"
"38043","VEPH1","ENSG00000197415","MELT"
"38044","VEPH1","ENSG00000197415","VEPH"
"38045","FASTKD1","ENSG00000138399","-"
"38046","SMC6","ENSG00000163029","SMC-6"
"38047","SMC6","ENSG00000163029","SMC6L1"
"38048","SMC6","ENSG00000163029","hSMC6"
"38049","VTCN1","ENSG00000134258","B7-H4"
"38050","VTCN1","ENSG00000134258","B7H4"
"38051","VTCN1","ENSG00000134258","B7S1"
"38052","VTCN1","ENSG00000134258","B7X"
"38053","VTCN1","ENSG00000134258","B7h.5"
"38054","VTCN1","ENSG00000134258","PRO1291"
"38055","VTCN1","ENSG00000134258","VCTN1"
"38056","CENPU","ENSG00000151725","CENP50"
"38057","CENPU","ENSG00000151725","CENPU50"
"38058","CENPU","ENSG00000151725","KLIP1"
"38059","CENPU","ENSG00000151725","MLF1IP"
"38060","CENPU","ENSG00000151725","PBIP1"
"38061","ZDHHC14","ENSG00000175048","NEW1CP"
"38062","MSANTD2","ENSG00000120458","C11orf61"
"38063","SAP30L","ENSG00000164576","NS4ATP2"
"38064","STEAP4","ENSG00000127954","STAMP2"
"38065","STEAP4","ENSG00000127954","SchLAH"
"38066","STEAP4","ENSG00000127954","TIARP"
"38067","STEAP4","ENSG00000127954","TNFAIP9"
"38068","GAL3ST4","ENSG00000197093","GAL3ST-4"
"38069","QTRT2","ENSG00000151576","QTRTD1"
"38070","YRDC","ENSG00000196449","DRIP3"
"38071","YRDC","ENSG00000196449","IRIP"
"38072","YRDC","ENSG00000196449","SUA5"
"38073","MANEA","ENSG00000172469","ENDO"
"38074","MANEA","ENSG00000172469","hEndo"
"38075","GALNT12","ENSG00000119514","CRCS1"
"38076","GALNT12","ENSG00000119514","GalNAc-T12"
"38077","ZC2HC1C","ENSG00000119703","C14orf140"
"38078","ZC2HC1C","ENSG00000119703","FAM164C"
"38079","RIOX1","ENSG00000170468","C14orf169"
"38080","RIOX1","ENSG00000170468","JMJD9"
"38081","RIOX1","ENSG00000170468","MAPJD"
"38082","RIOX1","ENSG00000170468","NO66"
"38083","RIOX1","ENSG00000170468","ROX"
"38084","RIOX1","ENSG00000170468","URLC2"
"38085","RIOX1","ENSG00000170468","hsNO66"
"38086","ZMAT4","ENSG00000165061","-"
"38087","ZYG11B","ENSG00000162378","ZYG11"
"38088","OGFOD3","ENSG00000181396","C17orf101"
"38089","C11orf80","ENSG00000173715","HYDM4"
"38090","C11orf80","ENSG00000173715","TOP6BL"
"38091","C11orf80","ENSG00000173715","TOPOVIBL"
"38092","LRRK1","ENSG00000154237","RIPK6"
"38093","LRRK1","ENSG00000154237","Roco1"
"38094","PRKRIP1","ENSG00000128563","C114"
"38095","PRKRIP1","ENSG00000128563","KRBOX3"
"38096","NOL9","ENSG00000162408","Grc3"
"38097","NOL9","ENSG00000162408","NET6"
"38098","COLGALT1","ENSG00000130309","BSVD3"
"38099","COLGALT1","ENSG00000130309","ColGalT 1"
"38100","COLGALT1","ENSG00000130309","GLT25D1"
"38101","MORC4","ENSG00000133131","ZCW4"
"38102","MORC4","ENSG00000133131","ZCWCC2"
"38103","MORC4","ENSG00000133131","dJ75H8.2"
"38104","IPO4","ENSG00000196497","Imp4"
"38105","GTDC1","ENSG00000121964","Hmat-Xa"
"38106","GTDC1","ENSG00000121964","mat-Xa"
"38107","CCDC51","ENSG00000164051","MITOK"
"38108","NPEPL1","ENSG00000215440","bA261P9.2"
"38109","PPCS","ENSG00000127125","CMD2C"
"38110","TBL1XR1","ENSG00000177565","C21"
"38111","TBL1XR1","ENSG00000177565","DC42"
"38112","TBL1XR1","ENSG00000177565","IRA1"
"38113","TBL1XR1","ENSG00000177565","MRD41"
"38114","TBL1XR1","ENSG00000177565","TBLR1"
"38115","AAGAB","ENSG00000103591","KPPP1"
"38116","AAGAB","ENSG00000103591","PPKP1"
"38117","AAGAB","ENSG00000103591","PPKP1A"
"38118","AAGAB","ENSG00000103591","p34"
"38119","VPS37B","ENSG00000139722","-"
"38120","ANKRD55","ENSG00000164512","-"
"38121","SUV39H2","ENSG00000152455","KMT1B"
"38122","ZNF768","ENSG00000169957","-"
"38123","THAP9","ENSG00000168152","hTh9"
"38124","WDR59","ENSG00000103091","CDW12"
"38125","WDR59","ENSG00000103091","FP977"
"38126","WDR59","ENSG00000103091","p90-120"
"38127","LIN28A","ENSG00000131914","CSDD1"
"38128","LIN28A","ENSG00000131914","LIN-28"
"38129","LIN28A","ENSG00000131914","LIN28"
"38130","LIN28A","ENSG00000131914","ZCCHC1"
"38131","LIN28A","ENSG00000131914","lin-28A"
"38132","PALB2","ENSG00000083093","FANCN"
"38133","PALB2","ENSG00000083093","PNCA3"
"38134","SH3D21","ENSG00000214193","C1orf113"
"38135","NSUN7","ENSG00000179299","-"
"38136","NARS2","ENSG00000137513","DFNB94"
"38137","NARS2","ENSG00000137513","SLM5"
"38138","NARS2","ENSG00000137513","asnRS"
"38139","E2F8","ENSG00000129173","E2F-8"
"38140","KCTD17","ENSG00000100379","-"
"38141","TBC1D17","ENSG00000104946","-"
"38142","TEFM","ENSG00000172171","C17orf42"
"38143","BBS10","ENSG00000179941","C12orf58"
"38144","TTLL7","ENSG00000137941","-"
"38145","ZBBX","ENSG00000169064","-"
"38146","CCDC7","ENSG00000216937","BIOT2"
"38147","CCDC7","ENSG00000216937","BioT2-A"
"38148","CCDC7","ENSG00000216937","BioT2-B"
"38149","CCDC7","ENSG00000216937","BioT2-C"
"38150","CCDC7","ENSG00000216937","C10orf68"
"38151","DIPK2B","ENSG00000147113","4930578C19Rik"
"38152","DIPK2B","ENSG00000147113","CXorf36"
"38153","DIPK2B","ENSG00000147113","DIA1R"
"38154","DIPK2B","ENSG00000147113","EPQL1862"
"38155","DIPK2B","ENSG00000147113","PRO3743"
"38156","DIPK2B","ENSG00000147113","bA435K1.1"
"38157","CLIP4","ENSG00000115295","RSNL2"
"38158","ECHDC3","ENSG00000134463","-"
"38159","ADGB","ENSG00000118492","C6orf103"
"38160","ADGB","ENSG00000118492","CAPN16"
"38161","ZNF385D","ENSG00000151789","ZNF659"
"38162","SLC25A22","ENSG00000177542","EIEE3"
"38163","SLC25A22","ENSG00000177542","GC-1"
"38164","SLC25A22","ENSG00000177542","GC1"
"38165","SLC25A22","ENSG00000177542","NET44"
"38166","ZFAND1","ENSG00000104231","-"
"38167","SNIP1","ENSG00000163877","PML1"
"38168","SNIP1","ENSG00000163877","PMRED"
"38169","ASB13","ENSG00000196372","-"
"38170","ZNF750","ENSG00000141579","ZFP750"
"38171","ZNF668","ENSG00000167394","-"
"38172","C1orf115","ENSG00000162817","RDD1"
"38173","ISOC2","ENSG00000063241","-"
"38174","ELMO3","ENSG00000102890","CED-12"
"38175","ELMO3","ENSG00000102890","CED12"
"38176","ELMO3","ENSG00000102890","ELMO-3"
"38177","KATNBL1","ENSG00000134152","C15orf29"
